StationID,StationName,County,Region,HUC8,HUC10,HUC12,Latitude,Longitude
10012445,Bird Creek At Antler Drive Just Outside Wautoma,Waushara,Northeast,Upper Fox Subbasin,White River Watershed,Soules Creek-White River Subwatershed,44.073097,-89.32144
10012461,Halls Branch 100 Yds Upstream From Zintz Rd.,Crawford,West Central,Kickapoo Subbasin,Kickapoo River Watershed,Halls Branch Subwatershed,43.28043,-90.868034
10012583,Unnamed Creek (Wuerches Creek) North Side Of Cty B Near State Hwy 73,Green Lake,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Big Green Lake Subwatershed,43.748753,-89.05437
10013371,Badger Mill Creek at Riverside Road,Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Badger Mill Creek Subwatershed,42.959484,-89.55803
10013605,Bear Creek Station 1-Sth 131 Crossing Upstream,Crawford,West Central,Kickapoo Subbasin,Tainter Creek-Kickapoo River Watershed,Caswell Hollow-Kickapoo River Subwatershed,43.355,-90.8125
10013685,Radley Creek-Dayton Rd.,Waupaca,Northeast,Wolf Subbasin,Waupaca River Watershed,Radley Creek Subwatershed,44.289772,-89.1663
10013711,Peterson Creek - Jensen Rd.,Waupaca,Northeast,Wolf Subbasin,South Branch Little Wolf River Watershed,Peterson Creek Subwatershed,44.4354,-89.1696
10014361,Jackson Creek -Hwy 67 Bridge Upstream 232 M To End,Walworth,Southeast,Middle Rock Subbasin,Turtle Creek Watershed,Jackson Creek Subwatershed,42.64571,-88.5411
10014605,Menomonee River Below Lepper Dam,Waukesha,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Village of Menomonee Falls-Menomonee River Subwatershed,43.178596,-88.11374
10014829,Big Cedar Lake,Washington,Southeast,Milwaukee Subbasin,Cedar Creek Watershed,Cedar Lake-Cedar Creek Subwatershed,43.3817,-88.2539
10015400,White River - Cottonville Lane (Upstream),Waushara,Northeast,Upper Fox Subbasin,White River Watershed,Little Lunch Creek-White River Subwatershed,44.04399,-89.27754
10015911,Silver Creek Ds Scott Street Dam,Fond du Lac,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Silver Creek Subwatershed,43.845604,-88.83515
10016058,Johnson Creek - Ranch Road Bridge,Jefferson,South Central,Upper Rock Subbasin,Johnson Creek-Rock River Watershed,Headwaters Johnson Creek Subwatershed,43.092987,-88.692116
10016104,Bark River at Hagedorn and Cushman Rds,Jefferson,South Central,Middle Rock Subbasin,Bark River Watershed,Rome Pond-Bark River Subwatershed,42.960373,-88.67093
10016291,Hibbard Creek DS of Honold Rd,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Hibbard Creek Subwatershed,45.02522,-87.20291
10016327,Cedar Creek - 25 Feet Downstream Of Mayfield Rd. Just West Of The Town Of Mayfield,Washington,Southeast,Milwaukee Subbasin,Cedar Creek Watershed,Cedar Lake-Cedar Creek Subwatershed,43.32859,-88.19884
10016330,Unnamed Trib. To Silver Creek At Trail,Fond du Lac,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Silver Creek Subwatershed,43.861042,-88.86043
10016339,Menomonee River - Approx. 25 ft US Of Lilac Rd at Schoen Laufen Park,Washington,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Village of Menomonee Falls-Menomonee River Subwatershed,43.213924,-88.13974
10016433,Brandy Brook at Cth DT (Pb-7),Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Pebble Creek Subwatershed,43.003494,-88.32285
10016566,Token Creek - 10M DS Egre Rd Crossing,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Token Creek Subwatershed,43.209507,-89.25026
10016580,Token Creek - 2 M below Springs West Outlet culvers,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Token Creek Subwatershed,43.20535,-89.28058
10016773,Apple Br. - Apple Grove Ch Rd.,Lafayette,South Central,Pecatonica Subbasin,East Branch Pecatonica River Watershed,Whiteside Creek Subwatershed,42.697376,-89.93623
10016781,Little Eau Pleine River - Sampled Riffle Above Cth F,Marathon,West Central,Lake Dubay Subbasin,Little Eau Pleine River Watershed,Carlson Creek-Little Eau Pleine River Subwatershed,44.77185,-90.25176
10016792,Sawmill Cr. - Gould Hill Rd.,Green,South Central,Pecatonica Subbasin,East Branch Pecatonica River Watershed,Sawmill Creek Subwatershed,42.78046,-89.83652
10016817,Evergreen Cr. - 100 Ft Dwnstream Pleasant Valleyrd,Washington,Southeast,Milwaukee Subbasin,Cedar Creek Watershed,Jackson Marsh State Wildlife Area-Cedar Creek Subwatershed,43.351906,-88.12807
10016999,Battle Creek - Adjacent To Cth B 10 Feet Gq=5,Jefferson,South Central,Upper Rock Subbasin,Oconomowoc River Watershed,Oconomowoc River Subwatershed,43.07633,-88.54627
10017206,Sugar River-10 Feet Upstream From Bridge Off Hwy Pd. No Riffle Sampled Bottom Debris.,Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Headwaters Sugar River Subwatershed,43.009827,-89.599655
10020361,Prairie River -- Access at Hackbarths Dr Off Sth 17,Lincoln,Northern,Lake Dubay Subbasin,Prairie River Watershed,Middle Prairie River Subwatershed,45.373745,-89.46125
10020362,Prairie River -- Walk-In,Lincoln,Northern,Lake Dubay Subbasin,Prairie River Watershed,Middle Prairie River Subwatershed,45.365356,-89.46323
10020461,Stony Brook - Across From Farm Adjacent To Shady Lane,Calumet,Northeast,Manitowoc-Sheboygan Subbasin,South Branch Manitowoc River Watershed,Stony Brook-South Branch Manitowoc River Subwatershed,44.04853,-88.2312
10020499,Genesse Creek-Upstream Of Hwy 59,Waukesha,Southeast,Upper Fox Subbasin,Eagle Creek-Fox River Watershed,Genesee Creek Subwatershed,42.95847,-88.35945
10020630,Bluff Creek DS CTH P,Walworth,Southeast,Middle Rock Subbasin,Whitewater Creek Watershed,Whitewater Lake-Whitewater Creek Subwatershed,42.79818,-88.684814
10020631,Scuppernong River - 1395 meters Upstream of CTHY ZZ,Waukesha,Southeast,Middle Rock Subbasin,Scupperenong River Watershed,Mud Creek-Scuppernong Creek Subwatershed,42.934044,-88.469505
10020683,Carpenter Creek At Bridge On CTH NN,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Carpenter Creek-Pine River Subwatershed,44.155632,-89.06529
10021352,Little Turtle Creek at Lake Shore Rd,Walworth,Southeast,Middle Rock Subbasin,Turtle Creek Watershed,Little Turtle Creek Subwatershed,42.55548,-88.77145
10021414,Johnson Creek At Cth B In Johnson Creek,Jefferson,South Central,Upper Rock Subbasin,Johnson Creek-Rock River Watershed,Johnson Creek Subwatershed,43.07565,-88.77641
10022008,Soules Creek - Swamp Road (Upstream),Waushara,Northeast,Upper Fox Subbasin,White River Watershed,Soules Creek-White River Subwatershed,44.088146,-89.27006
10022103,Jockey Hollow Creek At Duncan Hill Road,Green,South Central,Pecatonica Subbasin,East Branch Pecatonica River Watershed,East Branch Pecatonica River Subwatershed,42.65724,-89.81792
10022508,Blue River Station 3 At 400m Downstream Of Bluff Rd (Sesw1206n01w),Grant,South Central,Lower Wisconsin Subbasin,Blue River Watershed,Big Rock Branch-Blue River Subwatershed,43.004494,-90.43911
10028918,Willow Creek At Cth S And Z,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Bruce Creek-Willow Creek Subwatershed,44.07495,-89.14705
10029078,Unnamed Tributary 100 ft W Townline Rd,Washington,Southeast,Milwaukee Subbasin,Upper Milwaukee River Watershed,West Branch Milwaukee River Subwatershed,43.53914,-88.28139
10029414,Deerskin River at FR2178,Vilas,Northern,Upper Wisconsin Subbasin,Deerskin River Watershed,Deerskin River Subwatershed,46.00295,-89.07436
10029415,DEERSKIN RIVER - OLD HATCHERY ACCESS OFF OF BLACKJACK RD.,Vilas,Northern,Upper Wisconsin Subbasin,Deerskin River Watershed,Deerskin River Subwatershed,45.99612,-89.09541
10029483,West Twin River at CYH Y,Manitowoc,Northeast,Manitowoc-Sheboygan Subbasin,West Twin River Watershed,Francis Creek-West Twin River Subwatershed,44.240097,-87.70544
10029546,Scuppernong Cr at the footbridge on the Lapham Peak Tr,Waukesha,Southeast,Middle Rock Subbasin,Bark River Watershed,Scuppernong Creek Subwatershed,43.01528,-88.394196
10029688,North Branch Milwaukee River at Riverside Rd,Washington,Southeast,Milwaukee Subbasin,North Branch Milwaukee River Watershed,North Branch Milwaukee River Subwatershed,43.48113,-88.04079
10029782,East Branch Fond du Lac River Morris Court 200 yds east,Fond du Lac,Northeast,Lake Winnebago Subbasin,Fond Du Lac River Watershed,Parsons Creek-East Branch Fond Du Lac River Subwatershed,43.758175,-88.45266
10029787,Pewaukee Lake outfall before it joins the river,Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Pewaukee River Subwatershed,43.084328,-88.263855
10029790,Pheasant Branch at Middleton High School,Dane,South Central,Middle Rock Subbasin,Lake Mendota-Yahara River Watershed,Pheasant Branch Subwatershed,43.103195,-89.509575
10029791,Pine River W4902 Portage Road Saxeville,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Carpenter Creek-Pine River Subwatershed,44.179024,-89.12962
10029802,Deerskin River at bend east of Rangeline Rd,Vilas,Northern,Upper Wisconsin Subbasin,Deerskin River Watershed,Deerskin River Subwatershed,45.954674,-89.17443
10029803,Deerskin River at the end Myzska Road on the southeast of river,Vilas,Northern,Upper Wisconsin Subbasin,Deerskin River Watershed,Deerskin River Subwatershed,46.04284,-89.05396
10030208,Fordham Creek at 8th Dr,Adams,West Central,Castle Rock Subbasin,Little Roche a Cri Creek Watershed,Fordham Creek-Little Roche a Cri Creek Subwatershed,43.98486,-89.741455
10030241,Honey Creek at CTH Y (W Layler Rd),Milwaukee,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Menomonee River Subwatershed,42.95895,-87.98352
10030281,Halls Creek near Camp Bradfield Rd (west of N9167 Flood Rd),Jackson,West Central,Black Subbasin,Halls Creek Watershed,Trow Lake-Halls Creek Subwatershed,44.388096,-90.79041
10030582,Dakin Creek - Skunk Hollow Rd.,Green Lake,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Silver Creek Subwatershed,43.822773,-88.90571
10030615,BEARSKIN CREEK - STATION 8 - BEARSKIN RAPIDS TRESTLE TO TOP OF CEDARS RIFFLE,Oneida,Northern,Upper Wisconsin Subbasin,Middle Tomahawk River Watershed,Bearskin Creek Subwatershed,45.65645,-89.66337
10030703,Unnamed Tributary to Spring Creek near Orchard Dr,Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Village of Sussex-Fox River Subwatershed,43.13485,-88.21941
10030883,Evergreen River CTH M FIELDS-UPPER PARKING TO RR CROSSING,Langlade,Northern,Wolf Subbasin,Evergreen River-Wolf River Watershed,Elton Creek-Evergreen River Subwatershed,45.12759,-88.79512
10031037,Palmer Park Beach,Rock,South Central,Middle Rock Subbasin,Blackhawk Creek Watershed,Kiwanis Pond-Spring Brook Subwatershed,42.682667,-88.985016
10031557,West Branch of Fond du Lac at Estabrook Park,Fond du Lac,Northeast,Lake Winnebago Subbasin,Fond Du Lac River Watershed,Eldorado Marsh-Fond Du Lac River Subwatershed,43.76707,-88.50498
10031637,Pine River at STH 60,Richland,South Central,Lower Wisconsin Subbasin,Pine River Watershed,Pine River Subwatershed,43.222733,-90.30302
10031670,Rock Creek at Manske Road,Jefferson,South Central,Upper Rock Subbasin,Crawfish River Watershed,Rock Creek Subwatershed,43.107567,-88.87234
10031935,Peil Creek S of HWY EE at Northview Property,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Kangaroo Lake-Frontal Lake Michigan Subwatershed,45.0649,-87.16797
10031938,Three Springs Creek at Wilson Preserve,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Three Springs Creek-Frontal Lake Michigan Subwatershed,45.176617,-87.08006
10031947,Hidden Brook N of Ridges Rd,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Kangaroo Lake-Frontal Lake Michigan Subwatershed,45.069305,-87.1228
10032024,Kinnickinnic River at KK River Pkwy Pedestrian Bridge,Milwaukee,Southeast,Milwaukee Subbasin,Kinnickinnic River Watershed,Kinnickinnic River Subwatershed,42.99982,-87.97706
10032119,Wisconsin River tributary 0.5 mi SE of STH 60 and Knob Ln intscn,Crawford,West Central,Lower Wisconsin Subbasin,City of Boscobel-Wisconsin River Watershed,Clear Creek-Wisconsin River Subwatershed,43.101078,-90.82117
10032123,Boydtown Creek 400 ft west of Hilldale Rd,Crawford,West Central,Lower Wisconsin Subbasin,City of Boscobel-Wisconsin River Watershed,Clear Creek-Wisconsin River Subwatershed,43.119755,-90.80816
10032283,Reiboldt's Creek N of CTH Q,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Mud Lake-Frontal Lake Michigan Subwatershed,45.0966,-87.082
10032540,Little Menomonee River at Milwaukee,Milwaukee,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Little Menomonee River Subwatershed,43.12353,-88.043434
10032556,Whitewater Creek at (bridge) Jefferson/Walworth County line,Walworth,Southeast,Middle Rock Subbasin,Whitewater Creek Watershed,Whitewater Creek Subwatershed,42.842697,-88.73375
10032767,Brown Deer Park Creek at W. Good Hope Rd. (Hwy. PP) Glendale,Milwaukee,Southeast,Milwaukee Subbasin,Lower Milwaukee River-Frontal Lake Michigan Watershed,Milwaukee River Subwatershed,43.148438,-87.950645
10033406,Tainter Creek 1.3 mi south on CTH B from inscn with CTH C,Crawford,West Central,Kickapoo Subbasin,Tainter Creek-Kickapoo River Watershed,Tainter Creek Subwatershed,43.38222,-90.86667
10033608,Spring Brook Creek at Hwy 89,Walworth,Southeast,Middle Rock Subbasin,Whitewater Creek Watershed,Spring Brook Subwatershed,42.811066,-88.74427
10033652,Grantosa Creek near Mouth,Milwaukee,Southeast,Milwaukee Subbasin,Menomonee River Watershed,Menomonee River Subwatershed,43.085087,-88.048325
10033681,Yahara River at Veteran's Park,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.249523,-89.34375
10033682,Yahara River at South St. Bridge,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.2421,-89.356636
10033683,Unnamed Trib at River Rd N of South St,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.24198,-89.36291
10033684,Yahara River at River Rd,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.228863,-89.36261
10033685,Yahara River at Innovation Dr,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.225956,-89.34734
10033686,Yahara River at Golf Course,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.20257,-89.35054
10033687,Unnamed (Pine Springs) Creek at Hickory Ln,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,OneHundred Mile Grove Cemetery Subwatershed,43.215137,-89.38206
10033718,Reiboldts Creek North at Old Homestead Rd,Door,Northeast,Door-Kewaunee Subbasin,Door Peninsula-Frontal Lake Michigan Watershed,Mud Lake-Frontal Lake Michigan Subwatershed,45.130413,-87.10629
10033880,Unnamed Trib to Yahara River at Innovation Dr,Dane,South Central,Middle Rock Subbasin,Headwaters Yahara River Watershed,Cherokee Lake-Yahara River Subwatershed,43.226254,-89.34686
10033998,Lovetts Creek at Berry Rd bridge,Lafayette,South Central,Pecatonica Subbasin,Spafford Creek-Pecatonica River Watershed,Copper Creek-Pecatonica River Subwatershed,42.66436,-90.03881
10034152,Sugar River at Morningwood Farms Nursery (off Domini Road),Dane,South Central,Sugar Subbasin,Headwaters Sugar River Watershed,Headwaters Sugar River Subwatershed,43.03607,-89.675964
10034365,Rock Branch at Suthers Rd,Iowa,South Central,Pecatonica Subbasin,Mineral Point Branch Watershed,Mineral Point Branch Subwatershed,42.821686,-90.16912
10034839,Cedar Creek ~700ft S of Hwy 60 off Keup Rd,Ozaukee,Southeast,Milwaukee Subbasin,Cedar Creek Watershed,Cedar Creek Subwatershed,43.32103,-87.97778
10037441,Beaver Creek at HWY 57,Milwaukee,Southeast,Milwaukee Subbasin,Lower Milwaukee River-Frontal Lake Michigan Watershed,Milwaukee River Subwatershed,43.183517,-87.96418
10037442,Southbranch Creek at Teutonia & STH 57,Milwaukee,Southeast,Milwaukee Subbasin,Lower Milwaukee River-Frontal Lake Michigan Watershed,Milwaukee River Subwatershed,43.169617,-87.96504
10037476,Allen Creek at confluence with unnamed trib (WBIC-5037840) north of Star School Road,Jefferson,South Central,Middle Rock Subbasin,Lake Koshkonong-Rock River Watershed,Fort Atkinson-Rock River Subwatershed,42.884193,-88.83708
10037910,North Branch Nippersink Creek DS CTH H,Walworth,Southeast,Upper Fox Subbasin,North Branch Nippersink Creek Watershed,North Branch Nippersink Creek Subwatershed,42.504955,-88.33181
10037927,Pine River at Aniwa Road,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Humphrey Creek-Pine River Subwatershed,44.202923,-89.18575
10037928,South Branch Little Wolf at Erickson Road and STH 49,Waupaca,Northeast,Wolf Subbasin,South Branch Little Wolf River Watershed,Nace Creek-South Branch Little Wolf River Subwatershed,44.537457,-89.17535
10038078,Sucker Creek 1/8 mi E of 24th Ave,Waushara,Northeast,Upper Fox Subbasin,White River Watershed,Sucker Creek Subwatershed,43.991276,-89.14697
10038079,Sucker Creek 1/4 mi E of 24th Ave,Waushara,Northeast,Upper Fox Subbasin,White River Watershed,Sucker Creek Subwatershed,43.991234,-89.14089
10038441,Mason Creek at Petersen Rd,Waukesha,Southeast,Upper Rock Subbasin,Oconomowoc River Watershed,Okauchee Lake-Oconomowoc River Subwatershed,43.16199,-88.38418
10038944,Pewaukee River at HWY M Bridge,Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Pewaukee River Subwatershed,43.07604,-88.24466
10039100,West Branch White River 100 meters DS 13th Ave,Waushara,Northeast,Upper Fox Subbasin,White River Watershed,West Branch White River Subwatershed,44.08664,-89.363
10039312,Bark River in Nixon Park in Hartland,Waukesha,Southeast,Middle Rock Subbasin,Bark River Watershed,Headwaters Bark River Subwatershed,43.100315,-88.34745
10039443,Silver Creek SE of Redman Dr,Fond du Lac,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Silver Creek Subwatershed,43.850616,-88.849106
10039464,Spring Creek at Lindsay Rd,Waukesha,Southeast,Upper Fox Subbasin,Pewaukee River-Fox River Watershed,Village of Sussex-Fox River Subwatershed,43.10179,-88.2104
10039474,Starkweather Creek at Melvin Ct,Dane,South Central,Middle Rock Subbasin,Lake Monona-Yahara River Watershed,Starkweather Creek Subwatershed,43.1111,-89.33915
10039566,Killsnake River W of Killsnake Rd and CTH BB,Calumet,Northeast,Manitowoc-Sheboygan Subbasin,South Branch Manitowoc River Watershed,Headwaters Killsnake River Subwatershed,44.08777,-88.20661
10039573,Bark River behind old fish hatchery on Main St,Waukesha,Southeast,Middle Rock Subbasin,Bark River Watershed,Bowron Lake-Bark River Subwatershed,43.06147,-88.40746
10039574,Kenyon Creek below Hoffman Creek confluence,Jackson,West Central,Black Subbasin,Robinson Creek-Black River Watershed,Squaw Creek Subwatershed,44.29317,-90.90572
10039576,Rock Creek upstream of Stony Rd,Jefferson,South Central,Upper Rock Subbasin,Crawfish River Watershed,Rock Creek Subwatershed,43.081577,-88.89441
10039588,Town Creek at 8th St,Jackson,West Central,Black Subbasin,Robinson Creek-Black River Watershed,Town Creek-Black River Subwatershed,44.301193,-90.85654
10039602,Pine River at CTH H US of Poy Sippi Millpond,Waushara,Northeast,Wolf Subbasin,Willow Creek-Frontal Lake Poygan Watershed,Pine River-Frontal Lake Poygan Subwatershed,44.137432,-89.032814
10039626,Spring Brook 300ft up from bridge at Carver Roehl County Park,Rock,South Central,Middle Rock Subbasin,Turtle Creek Watershed,Town of Avalon-Turtle Creek Subwatershed,42.608273,-88.82725
10039653,East Branch Rock River 600 ft E of CTH Y,Dodge,South Central,Upper Rock Subbasin,East Branch Rock River Watershed,East Branch Rock River Subwatershed,43.511185,-88.55531
10039680,Unnamed Trib to Dakin Creek 1/4 mile E of Fond du Lac County Line,Fond du Lac,Northeast,Upper Fox Subbasin,Big Green Lake Watershed,Silver Creek Subwatershed,43.82319,-88.88132
10039789,Lake Ripley Outlet at Park Road,Jefferson,South Central,Middle Rock Subbasin,Koshkonong Creek Watershed,Lake Ripley-Koshkonong Creek Subwatershed,43.0074,-89.00184
10040319,Otter Creek NE of STH 82 at Sarnowski property,Vernon,West Central,Kickapoo Subbasin,Bear Creek-Kickapoo River Watershed,Otter Creek Subwatershed,43.578407,-90.65693
10040382,Sixmile Creek at Division St and Knightsbridge Rd,Dane,South Central,Middle Rock Subbasin,Lake Mendota-Yahara River Watershed,Sixmile Creek Subwatershed,43.183796,-89.44664
10040407,Unnamed Trib (879600) to Searles Cr at CTH S,Green,South Central,Sugar Subbasin,Sylvester Creek-Sugar River Watershed,Searles Creek Subwatershed,42.653088,-89.50558
10040410,Searles Cr at CTH S,Green,South Central,Sugar Subbasin,Sylvester Creek-Sugar River Watershed,Searles Creek Subwatershed,42.657303,-89.50567
10040536,Lawrence Creek at Eagle Ave,Marquette,Northeast,Upper Fox Subbasin,Montello River Watershed,Westfield Creek Subwatershed,43.89426,-89.56947
10040597,Saunders Creek at Chaucer St,Rock,South Central,Middle Rock Subbasin,Lake Koshkonong-Rock River Watershed,Saunders Creek Subwatershed,42.833576,-89.06372
10040636,West Twin River at Woodland Dunes Nature Center,Manitowoc,Northeast,Manitowoc-Sheboygan Subbasin,West Twin River Watershed,West Twin River Subwatershed,44.161247,-87.59332
10040703,Little Pine Creek-115M Downstream Grundy Rd.,Lincoln,Northern,Lake Dubay Subbasin,Alexander Lake-Wisconsin River Watershed,Little Pine Creek Subwatershed,45.418953,-89.58001
10040851,Searles Creek at Decatur-Sylvester Rd,Green,South Central,Sugar Subbasin,Sylvester Creek-Sugar River Watershed,Searles Creek Subwatershed,42.644096,-89.48579
